CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12705,40,2,2306.1,3,3,5,335,Need Attention
12707,130,1,603.42,1,1,3,113,Hibernating
12708,18,5,1431.5,4,5,5,455,Loyal Customers
12709,29,6,3837.44,4,5,5,455,Loyal Customers
12710,40,1,718.96,3,1,4,314,About to Sleep
12712,21,7,2424.25,4,5,5,455,Loyal Customers
12714,18,3,2275.18,4,4,5,445,Loyal Customers
12717,84,1,609.74,2,1,3,213,Hibernating
12720,8,9,1961.57,5,5,5,555,Champions
12721,22,3,1412.31,4,4,5,445,Loyal Customers
12724,12,2,280.36,5,3,2,532,Potential Loyalists
12726,23,4,1297.04,4,5,4,454,Loyal Customers
12727,26,5,2800.4,4,5,5,455,Loyal Customers
12728,96,3,617.31,2,4,3,243,At-Risk
12731,14,6,8517.77,5,5,5,555,Champions
12732,18,1,236.26,4,1,2,412,Promising
12733,73,1,383.95,2,1,3,213,Hibernating
12735,154,2,779.57,1,3,4,134,At-Risk
12736,171,1,234.0,1,1,2,112,Hibernating
12744,87,4,10262.65,2,5,5,255,Cannot Lose Them
12747,3,5,1761.43,5,5,5,555,Champions
12748,1,67,7328.91,5,5,5,555,Champions
12749,52,1,859.1,3,1,4,314,About to Sleep
12753,87,3,9349.92,2,4,5,245,At-Risk
12754,74,3,3010.74,2,4,5,245,At-Risk
12755,119,1,17.55,1,1,1,111,Hibernating
12757,24,6,4445.43,4,5,5,455,Loyal Customers
12758,115,1,1570.19,1,1,5,115,Hibernating
12759,10,2,1082.52,5,3,4,534,Potential Loyalists
12764,155,1,1693.88,1,1,5,115,Hibernating
12766,79,3,2866.42,2,4,5,245,At-Risk
12769,77,1,1143.6,2,1,4,214,Hibernating
12770,49,1,1351.45,3,1,5,315,About to Sleep
12775,28,4,1164.68,4,5,4,454,Loyal Customers
12778,22,4,492.06,4,5,3,453,Loyal Customers
12779,28,6,2751.25,4,5,5,455,Loyal Customers
12781,123,1,549.26,1,1,3,113,Hibernating
12782,92,2,1099.45,2,3,4,234,At-Risk
12787,31,1,158.1,4,1,1,411,Promising
12790,31,1,324.92,4,1,2,412,Promising
12792,95,1,400.54,2,1,3,213,Hibernating
12793,173,1,413.68,1,1,3,113,Hibernating
12798,9,1,1607.04,5,1,5,515,New Customers
12802,25,1,427.58,4,1,3,413,Promising
12808,23,1,151.95,4,1,1,411,Promising
12809,16,1,489.31,5,1,3,513,New Customers
12811,99,3,514.85,2,4,3,243,At-Risk
12815,37,1,615.36,4,1,3,413,Promising
12816,15,1,318.65,5,1,2,512,New Customers
12817,120,1,166.04,1,1,1,111,Hibernating
12818,100,1,1542.08,2,1,5,215,Hibernating
12820,165,1,170.46,1,1,1,111,Hibernating
12821,53,1,92.72,3,1,1,311,About to Sleep
12823,93,3,994.5,2,4,4,244,At-Risk
12826,17,3,663.62,4,4,3,443,Loyal Customers
12829,175,1,207.25,1,1,2,112,Hibernating
12830,10,1,2221.84,5,1,5,515,New Customers
12831,101,1,215.05,2,1,2,212,Hibernating
12834,121,1,312.38,1,1,2,112,Hibernating
12836,58,2,1661.4,3,3,5,335,Need Attention
12837,12,1,134.1,5,1,1,511,New Customers
12839,22,3,962.92,4,4,4,444,Loyal Customers
12840,21,3,2150.77,4,4,5,445,Loyal Customers
12841,19,11,1655.0,4,5,5,455,Loyal Customers
12842,147,1,310.73,1,1,2,112,Hibernating
12843,7,6,1398.01,5,5,5,555,Champions
12845,106,4,354.09,2,5,2,252,Cannot Lose Them
12849,107,1,704.5,1,1,4,114,Hibernating
12852,133,1,311.55,1,1,2,112,Hibernating
12853,78,3,885.0,2,4,4,244,At-Risk
12854,80,2,810.37,2,3,4,234,At-Risk
12857,49,2,1106.4,3,3,4,334,Need Attention
12866,122,1,559.12,1,1,3,113,Hibernating
12867,4,4,1989.66,5,5,5,555,Champions
12868,24,5,1403.76,4,5,5,455,Loyal Customers
12871,46,1,132.0,3,1,1,311,About to Sleep
12872,165,1,221.44,1,1,2,112,Hibernating
12873,121,1,374.0,1,1,3,113,Hibernating
12876,35,1,726.43,4,1,4,414,Promising
12877,16,7,808.77,5,5,4,554,Champions
12878,75,2,854.99,2,3,4,234,At-Risk
12881,114,1,298.0,1,1,2,112,Hibernating
12886,58,1,775.0,3,1,4,314,About to Sleep
12888,53,2,354.12,3,3,2,332,Need Attention
12891,24,3,331.0,4,4,2,442,Loyal Customers
12897,43,2,216.5,3,3,2,332,Need Attention
12901,2,16,9558.44,5,5,5,555,Champions
12902,103,1,138.68,2,1,1,211,Hibernating
12904,11,1,244.69,5,1,2,512,New Customers
12908,15,2,750.0,5,3,4,534,Potential Loyalists
12909,40,3,1528.37,3,4,5,345,Loyal Customers
12910,36,3,1142.5,4,4,4,444,Loyal Customers
12913,121,2,448.77,1,3,3,133,At-Risk
12916,40,3,2312.78,3,4,5,345,Loyal Customers
12919,8,1,206.2,5,1,2,512,New Customers
12921,23,13,5383.52,4,5,5,455,Loyal Customers
12924,37,3,655.27,4,4,3,443,Loyal Customers
12928,80,1,387.7,2,1,3,213,Hibernating
12929,150,1,117.85,1,1,1,111,Hibernating
12930,10,1,221.56,5,1,2,512,New Customers
12931,42,5,3743.7,3,5,5,355,Loyal Customers
12933,10,2,357.49,5,3,2,532,Potential Loyalists
12935,42,2,866.23,3,3,4,334,Need Attention
12937,36,2,428.23,4,3,3,433,Potential Loyalists
12939,112,3,7228.32,1,4,5,145,At-Risk
12942,36,1,137.77,4,1,1,411,Promising
12945,127,1,462.95,1,1,3,113,Hibernating
12947,21,4,1075.65,4,5,4,454,Loyal Customers
12948,53,3,886.26,3,4,4,344,Loyal Customers
12949,45,3,2250.7,3,4,5,345,Loyal Customers
12951,12,5,751.78,5,5,4,554,Champions
12955,7,4,991.38,5,5,4,554,Champions
12956,145,1,108.07,1,1,1,111,Hibernating
12957,25,4,1715.29,4,5,5,455,Loyal Customers
12970,161,2,23.8,1,3,1,131,At-Risk
12971,7,40,4779.45,5,5,5,555,Champions
12974,36,1,144.8,4,1,1,411,Promising
12976,50,1,738.6,3,1,4,314,About to Sleep
12980,15,7,5646.78,5,5,5,555,Champions
12982,81,1,390.54,2,1,3,213,Hibernating
12987,36,1,304.3,4,1,2,412,Promising
12988,131,1,535.32,1,1,3,113,Hibernating
12989,39,6,3125.44,3,5,5,355,Loyal Customers
12990,24,2,263.9,4,3,2,432,Potential Loyalists
12993,46,2,175.3,3,3,1,331,Need Attention
12994,107,1,352.6,1,1,2,112,Hibernating
12997,75,2,608.47,2,3,3,233,At-Risk
12999,35,3,455.88,4,4,3,443,Loyal Customers
13000,98,1,256.78,2,1,2,212,Hibernating
13001,23,10,7845.35,4,5,5,455,Loyal Customers
13002,157,1,120.95,1,1,1,111,Hibernating
13003,53,1,59.05,3,1,1,311,About to Sleep
13004,7,9,2791.57,5,5,5,555,Champions
13005,12,2,513.7,5,3,3,533,Potential Loyalists
13008,162,1,229.47,1,1,2,112,Hibernating
13012,52,3,707.39,3,4,4,344,Loyal Customers
13013,51,2,843.95,3,3,4,334,Need Attention
13014,8,4,1788.78,5,5,5,555,Champions
13015,36,4,1763.04,4,5,5,455,Loyal Customers
13018,18,12,3852.9,4,5,5,455,Loyal Customers
13021,5,3,995.12,5,4,4,544,Champions
13026,59,2,243.72,3,3,2,332,Need Attention
13027,72,2,2400.0,2,3,5,235,At-Risk
13035,99,1,333.0,2,1,2,212,Hibernating
13037,58,2,577.32,3,3,3,333,Need Attention
13038,22,2,591.76,4,3,3,433,Potential Loyalists
13043,112,1,516.42,1,1,3,113,Hibernating
13044,130,1,560.47,1,1,3,113,Hibernating
13046,105,1,197.72,2,1,1,211,Hibernating
13047,12,4,1867.45,5,5,5,555,Champions
13048,77,2,939.92,2,3,4,234,At-Risk
13049,157,1,153.78,1,1,1,111,Hibernating
13050,24,6,2259.26,4,5,5,455,Loyal Customers
13052,51,1,348.15,3,1,2,312,About to Sleep
13055,52,1,344.86,3,1,2,312,About to Sleep
13059,88,1,183.4,2,1,1,211,Hibernating
13060,92,1,307.53,2,1,2,212,Hibernating
13062,30,1,346.98,4,1,2,412,Promising
13064,166,1,203.3,1,1,1,111,Hibernating
13068,158,1,165.0,1,1,1,111,Hibernating
13069,19,12,2265.81,4,5,5,455,Loyal Customers
13070,31,1,228.8,4,1,2,412,Promising
13072,105,1,177.15,2,1,1,211,Hibernating
13077,129,2,263.72,1,3,2,132,At-Risk
13078,2,10,4362.42,5,5,5,555,Champions
13080,18,1,58.08,4,1,1,411,Promising
13081,56,5,12096.73,3,5,5,355,Loyal Customers
13082,15,7,2245.53,5,5,5,555,Champions
13085,134,1,278.1,1,1,2,112,Hibernating
13089,9,49,25734.71,5,5,5,555,Champions
13090,14,5,2935.22,5,5,5,555,Champions
13092,50,3,254.3,3,4,2,342,Loyal Customers
13093,114,5,4036.96,1,5,5,155,Cannot Lose Them
13094,30,7,869.4,4,5,4,454,Loyal Customers
13097,12,6,3696.96,5,5,5,555,Champions
13098,8,11,9574.22,5,5,5,555,Champions
13101,73,1,101.19,2,1,1,211,Hibernating
13102,12,14,3331.68,5,5,5,555,Champions
13104,106,1,111.96,2,1,1,211,Hibernating
13107,14,2,935.22,5,3,4,534,Potential Loyalists
13110,96,3,732.49,2,4,4,244,At-Risk
13113,1,17,9271.05,5,5,5,555,Champions
13115,23,1,878.55,4,1,4,414,Promising
13117,56,4,363.22,3,5,3,353,Loyal Customers
13118,47,3,799.7,3,4,4,344,Loyal Customers
13120,77,1,30.6,2,1,1,211,Hibernating
13121,108,1,283.73,1,1,2,112,Hibernating
13122,79,1,903.67,2,1,4,214,Hibernating
13124,91,1,1317.8,2,1,5,215,Hibernating
13126,92,3,853.98,2,4,4,244,At-Risk
13131,26,1,324.9,4,1,2,412,Promising
13132,100,1,77.3,2,1,1,211,Hibernating
13133,112,2,109.8,1,3,1,131,At-Risk
13134,22,3,885.74,4,4,4,444,Loyal Customers
13135,35,1,3096.0,4,1,5,415,Promising
13136,51,1,574.46,3,1,3,313,About to Sleep
13137,91,2,863.84,2,3,4,234,At-Risk
13138,79,1,193.62,2,1,1,211,Hibernating
13139,54,2,1170.02,3,3,4,334,Need Attention
13141,53,4,1401.03,3,5,5,355,Loyal Customers
13144,171,1,110.95,1,1,1,111,Hibernating
13148,71,5,1488.93,2,5,5,255,Cannot Lose Them
13149,128,1,376.74,1,1,3,113,Hibernating
13151,134,1,1257.87,1,1,4,114,Hibernating
13155,165,1,189.5,1,1,1,111,Hibernating
13157,80,2,497.94,2,3,3,233,At-Risk
13158,157,1,256.41,1,1,2,112,Hibernating
13161,152,1,112.75,1,1,1,111,Hibernating
13162,23,3,1305.44,4,4,4,444,Loyal Customers
13166,122,1,417.2,1,1,3,113,Hibernating
13168,38,3,972.66,3,4,4,344,Loyal Customers
13169,91,1,505.2,2,1,3,213,Hibernating
13171,138,1,140.35,1,1,1,111,Hibernating
13174,155,1,692.3,1,1,4,114,Hibernating
13178,10,5,2600.93,5,5,5,555,Champions
13183,47,3,1527.08,3,4,5,345,Loyal Customers
13184,23,5,919.97,4,5,4,454,Loyal Customers
13185,106,1,71.4,2,1,1,211,Hibernating
13187,176,1,236.02,1,1,2,112,Hibernating
13192,44,1,464.32,3,1,3,313,About to Sleep
13196,101,1,512.13,2,1,3,213,Hibernating
13198,88,2,1703.2,2,3,5,235,At-Risk
13199,11,16,3453.76,5,5,5,555,Champions
13203,81,1,165.71,2,1,1,211,Hibernating
13208,45,3,700.21,3,4,4,344,Loyal Customers
13209,66,2,2043.59,2,3,5,235,At-Risk
13213,22,3,551.53,4,4,3,443,Loyal Customers
13216,106,1,333.74,2,1,2,212,Hibernating
13220,24,3,726.49,4,4,4,444,Loyal Customers
13221,79,1,349.25,2,1,2,212,Hibernating
13223,39,2,163.2,3,3,1,331,Need Attention
13225,35,3,2535.16,4,4,5,445,Loyal Customers
13226,112,1,108.21,1,1,1,111,Hibernating
13227,40,1,257.7,3,1,2,312,About to Sleep
13229,64,1,160.95,2,1,1,211,Hibernating
13230,40,8,1706.03,3,5,5,355,Loyal Customers
13232,19,4,878.45,4,5,4,454,Loyal Customers
13233,175,1,304.24,1,1,2,112,Hibernating
13235,51,1,1031.07,3,1,4,314,About to Sleep
13238,2,1,227.7,5,1,2,512,New Customers
13239,100,1,329.56,2,1,2,212,Hibernating
13240,12,2,329.54,5,3,2,532,Potential Loyalists
13242,52,2,104.0,3,3,1,331,Need Attention
13243,42,1,600.07,3,1,3,313,About to Sleep
13246,15,5,1860.99,5,5,5,555,Champions
13248,28,1,387.47,4,1,3,413,Promising
13249,100,1,291.84,2,1,2,212,Hibernating
13253,178,1,476.48,1,1,3,113,Hibernating
13258,44,1,224.62,3,1,2,312,About to Sleep
13261,107,2,944.1,1,3,4,134,At-Risk
13262,102,1,200.29,2,1,1,211,Hibernating
13263,2,18,3976.2,5,5,5,555,Champions
13265,22,3,1465.66,4,4,5,445,Loyal Customers
13266,24,6,1826.43,4,5,5,455,Loyal Customers
13267,38,9,1587.84,3,5,5,355,Loyal Customers
13268,8,6,2150.25,5,5,5,555,Champions
13269,18,4,1698.5,4,5,5,455,Loyal Customers
13280,155,2,699.36,1,3,4,134,At-Risk
13282,1,2,773.1,5,3,4,534,Potential Loyalists
13283,24,1,25.5,4,1,1,411,Promising
13284,169,1,201.19,1,1,1,111,Hibernating
13285,65,2,1173.27,2,3,4,234,At-Risk
13292,123,1,249.57,1,1,2,112,Hibernating
13294,28,2,873.74,4,3,4,434,Potential Loyalists
13299,107,1,142.5,1,1,1,111,Hibernating
13300,8,1,371.89,5,1,3,513,New Customers
13301,61,2,327.77,3,3,2,332,Need Attention
13305,84,3,504.05,2,4,3,243,At-Risk
13308,42,1,814.95,3,1,4,314,About to Sleep
13309,45,2,546.64,3,3,3,333,Need Attention
13310,45,2,817.65,3,3,4,334,Need Attention
13313,54,2,609.74,3,3,3,333,Need Attention
13316,93,1,1622.48,2,1,5,215,Hibernating
13317,37,3,1075.93,4,4,4,444,Loyal Customers
13319,8,10,4032.36,5,5,5,555,Champions
13320,52,2,508.61,3,3,3,333,Need Attention
13324,42,6,3148.89,3,5,5,355,Loyal Customers
13327,24,3,1127.35,4,4,4,444,Loyal Customers
13328,155,1,1308.48,1,1,4,114,Hibernating
13330,24,2,728.22,4,3,4,434,Potential Loyalists
13334,29,2,2731.84,4,3,5,435,Potential Loyalists
13339,39,1,860.12,3,1,4,314,About to Sleep
13340,115,1,3678.03,1,1,5,115,Hibernating
13341,99,1,775.85,2,1,4,214,Hibernating
13343,16,1,353.43,5,1,2,512,New Customers
13344,116,1,1656.15,1,1,5,115,Hibernating
13345,126,1,389.5,1,1,3,113,Hibernating
13357,96,1,609.95,2,1,3,213,Hibernating
13358,107,1,439.03,1,1,3,113,Hibernating
13362,84,2,1581.53,2,3,5,235,At-Risk
13365,56,1,700.6,3,1,4,314,About to Sleep
13368,95,2,623.4,2,3,3,233,At-Risk
13373,115,1,987.7,1,1,4,114,Hibernating
13376,42,2,770.0,3,3,4,334,Need Attention
13381,46,2,1071.35,3,3,4,334,Need Attention
13382,119,1,222.99,1,1,2,112,Hibernating
13384,17,1,1172.6,4,1,4,414,Promising
13385,168,1,534.57,1,1,3,113,Hibernating
13389,71,1,257.89,2,1,2,212,Hibernating
13391,42,1,59.8,3,1,1,311,About to Sleep
13394,53,3,935.33,3,4,4,344,Loyal Customers
13395,24,1,307.72,4,1,2,412,Promising
13396,158,1,387.27,1,1,3,113,Hibernating
13397,22,3,980.47,4,4,4,444,Loyal Customers
13398,31,1,457.34,4,1,3,413,Promising
13404,51,1,217.81,3,1,2,312,About to Sleep
13405,43,2,557.45,3,3,3,333,Need Attention
13408,5,26,9879.63,5,5,5,555,Champions
13410,26,3,545.04,4,4,3,443,Loyal Customers
13414,135,1,390.0,1,1,3,113,Hibernating
13417,44,1,236.0,3,1,2,312,About to Sleep
13418,3,6,2198.7,5,5,5,555,Champions
13420,9,1,55.8,5,1,1,511,New Customers
13421,129,1,825.04,1,1,4,114,Hibernating
13425,7,2,1174.65,5,3,4,534,Potential Loyalists
13426,21,4,1221.7,4,5,4,454,Loyal Customers
13427,54,1,214.5,3,1,2,312,About to Sleep
13435,28,1,443.72,4,1,3,413,Promising
13437,8,2,1661.73,5,3,5,535,Potential Loyalists
13439,94,1,283.71,2,1,2,212,Hibernating
13448,57,1,593.72,3,1,3,313,About to Sleep
13450,43,2,678.54,3,3,4,334,Need Attention
13451,50,3,1652.38,3,4,5,345,Loyal Customers
13452,98,2,590.0,2,3,3,233,At-Risk
13453,4,2,356.98,5,3,2,532,Potential Loyalists
13456,14,2,425.06,5,3,3,533,Potential Loyalists
13458,8,7,5375.0,5,5,5,555,Champions
13461,2,1,576.4,5,1,3,513,New Customers
13462,91,1,151.5,2,1,1,211,Hibernating
13466,23,1,307.9,4,1,2,412,Promising
13468,18,18,2782.84,4,5,5,455,Loyal Customers
13473,171,1,241.26,1,1,2,112,Hibernating
13474,75,1,229.59,2,1,2,212,Hibernating
13475,30,4,1431.78,4,5,5,455,Loyal Customers
13476,17,2,1238.47,4,3,4,434,Potential Loyalists
13477,9,3,765.79,5,4,4,544,Champions
13479,39,2,300.95,3,3,2,332,Need Attention
13481,31,2,978.99,4,3,4,434,Potential Loyalists
13482,71,1,184.64,2,1,1,211,Hibernating
13484,80,1,313.8,2,1,2,212,Hibernating
13485,72,1,454.24,2,1,3,213,Hibernating
13487,52,1,215.65,3,1,2,312,About to Sleep
13488,35,5,4148.51,4,5,5,455,Loyal Customers
13489,128,2,235.68,1,3,2,132,At-Risk
13491,86,6,835.23,2,5,4,254,Cannot Lose Them
13492,53,1,315.3,3,1,2,312,About to Sleep
13493,114,2,618.63,1,3,3,133,At-Risk
13494,150,1,316.26,1,1,2,112,Hibernating
13495,71,1,207.0,2,1,2,212,Hibernating
13497,121,1,194.55,1,1,1,111,Hibernating
13499,64,2,463.79,2,3,3,233,At-Risk
13501,127,1,1340.32,1,1,5,115,Hibernating
13502,113,2,189.16,1,3,1,131,At-Risk
13505,5,3,2583.12,5,4,5,545,Champions
13506,155,1,157.4,1,1,1,111,Hibernating
13508,82,1,110.97,2,1,1,211,Hibernating
13509,93,3,650.02,2,4,3,243,At-Risk
13510,22,1,585.32,4,1,3,413,Promising
